Task Title,Epic,Sprint,Estimated Time (Days),Dependencies,Assignee,Status
PDF Export - Install jsPDF/react-pdf,PDF Export,Sprint 1,"0,5",None,You,To Do
PDF Export - Add export button to output,PDF Export,Sprint 1,"0,25",None,You,To Do
PDF Export - Style PDF (match gradient UI),PDF Export,Sprint 1,"0,25",None,You,To Do
PDF Export - Test on mobile,PDF Export,Sprint 1,"0,25",None,You,To Do
Persistence - Create Supabase table (generated_guides: id,,,"0,5",,You,To Do
Persistence - Hook /api/generate to insert on success,Persistence,Sprint 1,"0,5",Supabase client (already there),You,To Do
Persistence - Add history fetch (/api/history),Persistence,Sprint 1,"0,5",Supabase client (already there),You,To Do
Persistence - Display as accordion list,Persistence,Sprint 1,"0,5",Supabase client (already there),You,To Do
Refactor & Deploy - Consolidate OpenAI in lib/api.ts (use in route),Refactor & Deploy,Sprint 1,"0,5",None,You,To Do
Refactor & Deploy - Fix unused imports,Refactor & Deploy,Sprint 1,"0,25",None,You,To Do
Refactor & Deploy - Set Vercel env vars,Refactor & Deploy,Sprint 1,"0,25",None,You,To Do
Refactor & Deploy - Deploy + custom domain if ready,Refactor & Deploy,Sprint 1,"0,25",None,You,To Do
"Polish - Add ""Save to History"" toggle",Polish,Sprint 1,"0,25",Generation flow,You,To Do
Polish - Error recovery (retry button),Polish,Sprint 1,"0,25",Generation flow,You,To Do
"Polish - Onboarding tooltip: ""Paste your idea here!""",Polish,Sprint 1,"0,5",Generation flow,You,To Do
Interactive Kanban - Install react-beautiful-dnd,Interactive Kanban,Sprint 2,"0,5",Output generation,You,To Do
Interactive Kanban -383 Build <Kanban /> component (drag columns: Backlog/To Do/Done),Interactive Kanban,Sprint 2,"0,75",Output generation,You,To Do
Interactive Kanban - Parse markdown output into cards,Interactive Kanban,Sprint 2,"0,5",Output generation,You,To Do
"Interactive Kanban - Add ""Export as Trello JSON""",Interactive Kanban,Sprint 2,"0,25",Output generation,You,To Do
Wizard Flow - Use Headless UI for modal steps (Step 1: Idea → Step 2: Questions → Step 3: Output),Wizard Flow,Sprint 2,"0,75",Clarifying questions,You,To Do
Wizard Flow - Auto-advance on answers,Wizard Flow,Sprint 2,"0,25",Clarifying questions,You,To Do
Wizard Flow - Add progress bar with emojis,Wizard Flow,Sprint 2,"0,5",Clarifying questions,You,To Do
Engagement Boosts - Add 3 templates (e.g.,Simple Blog,Chat Bot),"0,5",Deploy from Sprint 1,You,To Do
Engagement Boosts - Regenerate button (re-run API with tweaks),Engagement Boosts,Sprint 2,"0,5",Deploy from Sprint 1,You,To Do
"Engagement Boosts - Feedback form (1-question: ""Thumbs up/down?"")",Engagement Boosts,Sprint 2,"0,25",Deploy from Sprint 1,You,To Do
Engagement Boosts - Rate limiting middleware,Engagement Boosts,Sprint 2,"0,25",Deploy from Sprint 1,You,To Do
User Auth - Implement Supabase Auth UI kit,User Auth,Post-MVP,"1,5",Sprint 2 completion,You,To Do
User Auth - Integrate login/signup flows,User Auth,Post-MVP,1,Sprint 2 completion,You,To Do
Vibe Mode - Add fun prompts/animations,Vibe Mode,Post-MVP,"1,5",Sprint 2 completion,You,To Do
Vibe Mode - Integrate stress-free coding session timers,Vibe Mode,Post-MVP,1,Sprint 2 completion,You,To Do
Multi-AI - Add Grok/Claude toggle in lib/api.ts,Multi-AI,Post-MVP,1,Sprint 2 completion,You,To Do
Multi-AI - Test API switching and model recs,Multi-AI,Post-MVP,1,Sprint 2 completion,You,To Do
Social Sharing/Gallery - Add shareable links for guides,Social Sharing/Gallery,Post-MVP,1,Sprint 2 completion + User Auth,You,To Do
Social Sharing/Gallery - Build public gallery view,Social Sharing/Gallery,Post-MVP,"1,5",Sprint 2 completion + User Auth,You,To Do
Social Sharing/Gallery - Implement rating/feedback system,Social Sharing/Gallery,Post-MVP,1,Sprint 2 completion + User Auth,You,To Do
Full Testing Suite - Add Jest for unit tests,Full Testing Suite,Post-MVP,1,Sprint 2 completion,You,To Do
Full Testing Suite - Write E2E tests with Playwright,Full Testing Suite,Post-MVP,2,Sprint 2 completion,You,To Do
Full Testing Suite - Set up CI/CD pipeline in GitHub Actions,Full Testing Suite,Post-MVP,1,Sprint 2 completion,You,To Do
